Gene,GSM3574340,GSM3574341,GSM3574342,GSM3574343,GSM3574344,GSM3574345,GSM3574346,GSM3574347,GSM3574348,GSM3574349,GSM3574350,GSM3574351,GSM3574352,GSM3574353,GSM3574354,GSM3574355,Symbol
Arsj,8,19,8,24,19,22,6,5,13,6,2,4,6,2,7,0,Arsj
Gad1,23,29,20,59.00002,18.00004,70.99996,24,24,42.00001,20,10,12,8,9,18.99999,2,Gad1
Alx4,1.01535,0,0,0,0,8.51883,0,0,5.80543,0,2.33921,0,0,0,1.01119,0,Alx4
Tmco5b,2,1,0,1,0,4,0,0,3,1,0,0,0,1,0,0,Tmco5b
Cbln1,9,5,0,3,14,2,4,0,4,3,5,0,0,0,0,0,Cbln1
Tcf15,115.334,130.047,24.0795,137.473,76.1943,350.421,74.587,38.7321,304.868,70.4141,16,12.7572,20.1225,30.5568,75.2191,20,Tcf15
Steap1,2,1,4,1,3,2,0,2,0,2,1,1,0,0,0,0,Steap1
Hebp1,161,139,65,208,135,323,95,65,359,155,59,52,78,69,95,6,Hebp1
Tmcc2,363,444,84,285,281,1969,235,100,1608,423,40,28,47,75,177,29,Tmcc2
Nuak2,88,74,25,120,57,203,54,42,198,71,34,20,20,32,54,28,Nuak2
Tmed11,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,Tmed11
Klhdc8a,7,12,7,15,4,36,12,7,15,8,2,1,1,1,8,0,Klhdc8a
Kiaa1614,122.00001,212.99994,59.99991,193.9997,138.000177,863.9991,102,91.99999,669.00014,62,31.00001,22.99996,20.99997,13.99999,118.99997698,8,Kiaa1614
Slc26a1,28,41,3,12.0127,16.0553,100.395,16.1127,10,83.1664,27,9,1,8.02084,6,16,0,Slc26a1
Xpr1,364.00021,376,293.9999,351.00058,421.999800612034,599.0001,279.0003,284.99973,498.9997,510.0004,179.00045,204.99963938,199.00014,293.0004,312.9997,68,Xpr1
Idua,564,682,298,634.987,583.945,1837.6,379.887,311,1645.83,638,189,138,256.979,242,462,112,Idua
Tmem175,392,371,201,375,441,1017,185,158,811,368,105,133,163,165,236,63,Tmem175
Cd82,210,241,84,267,172,890,163,131,722,213,49,53,69,66,161,28,Cd82
Gak,748,729,361,843,756,1547,387,382,1378,748,252,189,234,292,474,61,Gak
Crp,263.943,316.18121,231.026,380.002,347.222,357.599,157.315,284.976,369.209,324.083,207.486,166.02,229.635,257.16,214.853,45.752,Crp
Abhd8,17,26,4,11,11,226,21,5,257,23,0,2,2,4,10,7,Abhd8
Fcrl6,4,0,1,5,7,8,0,1,1,0,3,0,1,6,1,0,Fcrl6
Pcgf3,170,211,59,135,160,454,115,77,353,150,42,33,38,61,116,12,Pcgf3
Atp5me,5928,7775,3628,10504,5631,16378,5555,4249,12689,5889,2025,1718,2432,3033,3552,543,Atp5me
Pde6b,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,Pde6b
Fbxo28,249,260,119,254,212,434,127,131,420,283,74,47,75,77,166,29,Fbxo28
Ppp2r5a,4827,4270,3578,8327,4977,5361,2774,3612,4661,4770,2601,2579,2607,2993,2658,548,Ppp2r5a
Dr1,0,0,0,0,0,26.5081,0,0,105.682,0,0,0,0,0,0,0,Dr1
Tmed5,392,357,371,393,529,383,201,330,371,494,391,437,372,445,297,64,Tmed5
Mtf2,300,293,254,342,416,366,156,244,295,356,169,185,177,235,229,18,Mtf2
Antxr2,909,938,401,793,793,1145,445,398,973,829,263,264,346,444,630,114,Antxr2
Hltf,6057.907,7640.173,5475.208,8852.934,9474.378,6519.79,3279.635,5797.962,5210.439,10635.12,7097.396,6966.443,5471.696,7649.964,3522.748,986.5,Hltf
Smad9,281,329,273,439,497.752,570.65,180,297.777,418.117,408.747,171,221,195,208,290.651,48,Smad9
Gpr89b,343,420,244,426,341,670,198,282,572,359,154,105,113,165,267,59,Gpr89b
Pdzk1,86,120,79,84,83.99996,410,122,115,325,82,34,18,21,47,70,26,Pdzk1
Rnf115,2489,2450,1881,3532,2808,2917,1196,1872,2415,3357,1368,1476,1523,1780,1491,314,Rnf115
Thoc3,249,326,133,302,225,901,222,120,866,309,75,65,81,107,207,12,Thoc3
Cplx2,111,114,48,118,111,351.00001,85,38,283.00049,121,32,19,30,49,68,7,Cplx2
Aga,780,689,456,1142,761,878,499,566,768,756,408,410,426,456,439,84,Aga
Fgf20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fgf20
Coprs,222,208,82,285,110,382,111,77,335,176,27,43,62,68,119,5,Coprs
Champ1,423.921,473.926,261.482,558.708,439.026,815.367,289.792,242.635,657.257,389.592,149.843,196.239,162.619,189.35,260.162,100.531,Champ1
Elac1,110.524,148.595,59.5347,160.148,110.42,225.344,61.9832,62.6834,241.512,132.806,31.5176,30.1183,37.9963,48.3013,98.5623,27.0694,Elac1
Pigv,115.1168,129.002,53.2442,177,117.0003,374.0414,70,98.99999,285.2118,140.0353,37,32.4493,37.2749,80.0492,75,19.0417,Pigv
Ak2,822,925,377,1118,572,2013.66,523,382,1944.64,752,174,154,178,249,422,70,Ak2
Rnf19b,251.99985,243,77,275,173.9997,740,151,93,598.0004,209,29.00000741946,26,47,44.99996,127,43,Rnf19b
Loc103690615,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31265,0,0,LOC103690615
Kpna6,1760.995,1765.999,961,1808.005,1770.995,2547.004,994,1030,2377.997,1815.003,592,503.0003,696,829,999,234.9997,Kpna6
Phf24,47,62,19,40,64,377,20,20,365,57,3,8,3,10,28,3,Phf24
Dnajb5,1095.9962,1031.0008,330.0001,1214.99934,435.00002,1901.002,456.9999,320.00006,1616.0039,603.9999,149,125,142,238,297,27,Dnajb5
Txndc15,748,772,389,1101,728,1465,429,444,1282,739,255,219,320,335,522,139,Txndc15
Ly86,77,78,52,184,67,103,91,36,143,61,55,28,55,39,39,1,Ly86
Glis1,7,5.999999,1,5.00000163325,3,47.00005,0,1,36.99998,0,0,0,0,0,2,0,Glis1
Plxdc2,421,410,261,440,415,685,268,224,638,500,229,155,166,205,296,41,Plxdc2
Pik3r3,268,360,241,329,339,519,145,181,274,368,136,135,133,194,187,14,Pik3r3
Dnajc1,373,362,234,594,332,403,172,218,392,348,152,133,166,172,195,38,Dnajc1
Ldlrap1,41,69,17,38,33,379,54,24,289,41,7,3,6,5,28,2,Ldlrap1
Cog3,644,795,489,763,749,895,378,457,894,716,424,317,355,448,503,125,Cog3
Megf6,22,24.99996459,5.000003098,22.00001444,23.00002262,332.9996598,22.99998851,9.000001225,268.9997985,12.999995967,2.999995191,1,1.000000074,2.000002456,13.00004909,3.99999803,Megf6
Atg12,1652,1844,1463,2794,1958,1892,901,1437,1789,2349,1326,1283,1195,1435,1298,186,Atg12
Cdo1,127,152,116,189,120,168,59,87,163,176,110,89,94,139,109,20,Cdo1
Chm,543,577,583.00019,613,1010.0001,732,343,543.0004,564.0002,989,539.9997,530.9995,575,702.9996,449.0001,44,Chm
Lamp2,3365,3234,2703,4357,4364,4446,2224,2947,4197,4456,2707,2769,2754,3459,3232,617,Lamp2
Pfkfb1,10,6,7,12.0000256,7,20.00002,19,2,13,16,5,1,2,11,6,0,Pfkfb1
Apex2,96,110,51,122,116,165,49,33,117,113,24,24,36,38,45,3,Apex2
Alas2,1423,1162,226,796,768,1778,369,384,1209,1143,82,90,132,259,197,21,Alas2
Gatm,764,664,481.197,975.468,599,1070.29,307,394,696,703.466,376,348,353,382.738,425,40,Gatm
Afg2b,144.334,151.134,84.8059,222.253,171.739,230.621,96.2007,102.111,269.307,202.263,52.5836,71.186,78.925,70.2494,146.67,5.11951,Afg2b
Slc30a4,1187,1205,1178,1859,1717,1301,637,1138,1100,1530,1019,1047,886,1113,927,226,Slc30a4
Sqor,310,510,248,719,338,434,376,308,719,669,321,193,227,438,278,34,Sqor
Mier2,27.99999,44,8,40.000025,27,382,23,9,301.0004,16.99997,2,4,4,5,17,13,Mier2
Plpp2,5,3,2,4,6,16,11,2,19,1,1,0,0,1,3,0,Plpp2
Tmprss6,5,5,1,3,1,21,0,0,24,1,0,0,0,0,3,0,Tmprss6
Mpst,312,423,95,409,165,1956,198,111,1527,225,32,20,28,73,142,24,Mpst
Tst,117,180,37,127,73,1321,123,45,1183,95,12,4,9,25,80,9,Tst
Csf2rb,169,208,66,173,146,515,99,39,359,115,38,35,38,24,87,6,Csf2rb
Vwa5a,101.058,177.555,84.5116,168.5,208.991,203.756,82.9239,114.37,190.797,155.44,177.662,285.446,128.431,144.562,130.742,17.4801,Vwa5a
Cyp19a1,7.32769,8.57921,3.80349,9.02429,5.70577,6.38088,3.83813,0,10.1282,13.0804,4.94286,2.61919,4.65342,4.87713,3.7262,1,Cyp19a1
Dppa5l1,0,0,0,0,0,2.42857,0,1.5,0,0,0,0,0,0.5,1.5,0,Dppa5l1
Gsta5,44.5705,43.3595,23.8579,54.6972,64.4791,61.1075,36.7187,47.8274,43.5882,63.5688,37.3331,16.0138,34.5026,26.1508,33.1173,8.06932,Gsta5
Syncrip,1815.8276,1917.8241,1895.8747,2587.833,2434.6547,1981.712,1132,1832.6252,1641.7552,2398.8223,1479.9979,1408.9198,1424.9833,1578.8086,1163.824,267,Syncrip
Ano10,657,741,261,837,622,2648,497,316,3127,811,203,157,234,303,651,99,Ano10
Abhd5,1154,1135,723,1673,1149,1428,494,725,1132,1317,559,589,563,646,672,136,Abhd5
Lmf1,194.963,241.588,51.1496,159.372,104.374,836.089,169.745,62.667,650.685,135.122,17.9519,17.8702,28.6082,36.2772,90.0589,24.8441,Lmf1
Kctd17,51,71,15,58,33,273,59,15,203,41,6,4,8,8,19,0,Kctd17
Grm6,39.4889,19.5855,22.8201,40.574,25.1746,27.8419,18.6215,25.9019,36.1256,31.1025,16.9729,20.9499,22.3355,14.5592,17.1396,16.6215,Grm6
Zfp207,1713,1753,1219,2106,1790,2779,1019,1218,2070,2057,904,833,937,1034,1009,237,Zfp207
C10h17orf75,233,287,218,262,319,328,117,189,334,322,126,102,129,150,194,48,C10h17orf75
Ccl7,111,84,54,156,103,100,56,46,85,103,65,90,74,28,52,41,Ccl7
Coil,175,196,107,245,139,379,120,95,284,198,67,50,61,89,133,29,Coil
Slc16a6,206.0003,240,80,191.0004,91.9999,613.0007,129,93.00006,366.9998,138.00006,32,16.99996,28.99998,30.00003,79.99999,5,Slc16a6
Amz2,1586,1724,745,1907,1207,2593,774,682,2102,1408,342,283,424,658,976,148,Amz2
Mfsd11,301,199,141,430,258,608,178,192,501,356,97,71,79,149,181,46,Mfsd11
Srsf2,2982,2993,1988,4187,3200,4525,1564,2148,3300,3460,1560,1355,1758,1899,1831,512,Srsf2
Mettl23,357,359,268,604,342,318,189,227,296,381,221,167,174,218,249,22,Mettl23
Jmjd6,294,362,126,332,180,621,168,124,435,254,69,57,53,98,110,22,Jmjd6
St6galnac1,1,0,1,0,0,2,0,0,1,0,1,0,0,0,0,0,St6galnac1
Smpd3,69,65,48,96,64,197,41,53,162,136,23,34,34,28,44,4,Smpd3
Prmt7,304,323,138,320.0002,237.0004,834,216.9999,153,700,293,57,61,64,122,184,26,Prmt7
Zfp821,138,156,51,149,95,371,55,51,269,102,32,19,33,32,89,11,Zfp821
Def8,240,265,54,221,170,994,198,96,921,228,24,16,32,37,150,36,Def8
Phyhipl,3,5,6,1,2,3,0,4,2,7,2,1,0,2,1,0,Phyhipl
Fam13c,96,65,25,71,71,206,66,31,208,78,12,17.999989,12,35,72,17,Fam13c
Tet1,112,183,136,88,180,238,82.00000612729,102,192,140,66,66,80,58,94,6.00000137655,Tet1
Rtn4ip1,1370,1169,683,1429,892,2179,744,577,1758,1519,223,233,333,419,489,52,Rtn4ip1
Prodh,397.9999,384.0001,79,252.0004,165.9997,1251,202.0003,84,1006,153,12,7,19,34,108,17,Prodh
Gsc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gsc2
Ess2,102,102,24,109,73,464,68,47,402,85,10,12,17,21,56,6,Ess2
Scarf2,36,52,11,51,36,404,43,14,347,43,9,2,3,7,17,2,Scarf2
Foxo3,157,230,94,133,159,648,161,106,819,244,85,31,81,129,167,19,Foxo3
Sesn1,1782,2052.002,1098,2331.998,1908.003,3236.002,892,1353,4178,2537,939,751,1027,2073.004,2284.999,365,Sesn1
Cep57l1,201,216,154,360,254,277,141,176,242,200,128,113,125,145,136,56,Cep57l1
Cd164,7623,7602,7035,11432,10127,8909.0018,3686,6679,6834.0017,11405.0172,6176,5946.0011,6548,7179,5851,1211,Cd164
Smpd2,115,120,38,144,97,490,85,39,389,88,16,14,27,31,66,5,Smpd2
Mical1,99,119,32,103,98,663,95,39,595.094,98,15,11,20,29,77,17,Mical1
Zbtb24,186.965,162.618,77.803,161.341,150.402,371.249,49.646,64.4416,270.693,159.127,59.1286,54.166,64.4876,65.6709,105.106,20.5448,Zbtb24
Fig4,445,447,184,624,380,685,298,214,533,400,126,134,135,156,321,44,Fig4
Sec63,2318,2500,1875.997,3207,2989,3402,1527,1862,2937,3280,1682.004,1552,1633,1756,1844,300,Sec63
Sobp,160,213,135,201,181,424,131,133,332,169,105,80,82,133,102,4,Sobp
Cd24,75,61,61,112,67,66,39,79,79,96,78,38,55,37,39,1,Cd24
Atg5,509,531,317,758,498,739,313,323,640,541,206.0002,212.9996,238,342,307,90,Atg5
Prdm1,181,119.00000204907,107.00001,206.00000802188,146.00000308141,259.00006,141.0000134697,90.000010579661,180,142.0001755,48.00000389713,44,60.000004115,61.000000599782,71,8,Prdm1
Hace1,432,405,303,587,473,550,201,310,572,456,249,165,212,294,323,66,Hace1
Ermap,0,0,0,0,0,0,0,0,1,3,2,0,0,2,0,0,Ermap
Rtraf,4414.0012,4448.9982,2596,7073.0038,3696.9979,4543.0026,2303.9984,2424.0014,3840.995,3812.0017,1468.0044,1347.00473,1779.0022,2123.0027,2918.9979,443,Rtraf
Nid2,1247.89,974,519,1615,1059,2211.59,598,583,1438,1018,337,252,290,363,383,74,Nid2
Grik2,61.99996,65.00003,29.00001,55.0001,71,83.99997227,46.0000000258071,26,50,65.9999568,42,26.000034,30.99997,38.00001,39.00001,0,Grik2
Ctnna3,417,529,339,358,427,644,249,264,461,438,113,88,153,204,295,40,Ctnna3
Mypn,1935.996,2247.999846,1041.99574,2007,1658,4337.997,1137,1030.0014011,3876.005,1917.002,496,456,591.000221,960.9998,1496.0000060572,241.0004,Mypn
Atoh7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Atoh7
Pbld1,141,116,54,218,179,347,127,74,408,220,111,138,111,193,552,62,Pbld1
Dna2,639.052,666.726,447.4147,770.631,724.381,845.678,378.393,385.5943,674.767,726.95,345.5587,321.337,340.4207,413.011,437.526,46.9905,Dna2
Supv3l1,927.0002,1048.9997,498.9996,1313.0027,877,2004.9955,582.0004,546.9996,1632.9952,923.0004,263.0001,225.9999,283.9996,334.0003,461.9995,102,Supv3l1
Srgn,978.216,893.036,618.67381,1586.3865,1194.44001,1615.109,727.8704,808.879,1106.921,1347.47716,836.451,754.9308,637.4236,791.1823,638.7233,174.262,Srgn
Kifbp,851,1002,452,1149,708,1341,551,466,1299,836,301,277,367,399,504,84,Kifbp
Ddx50,1559,1594.99646,1282,2660.99852,1807,1564,967.0004,1254,1392,1903,1134,1148,1114,1345,1191,214,Ddx50
Ccar1,1666,1822,1474,2627,2151,2235,859,1460,1689,2143,1316,1309,1269,1489,1125,203,Ccar1
Zup1,569,628,488,918,717,639,377,463,535,692,351,285,450,409,447,94,Zup1
Gprc6a,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Gprc6a
Vgll2,3,2,0,0,8,2,1,0,0,0,0,0,0,0,0,0,Vgll2
Ros1,1302,1782.998,690,1567.00000001426,1646,1405.003,852,628,1293.996,1372,555,562,756,874,674,180,Ros1
Dcbld1,161,148,61,156,81,232,62,77,210,121,27,29,27,49,91,12,Dcbld1
Gopc,1178.04,1204.07,872.941,1683.8,1514.33,1653.1,755.087,860.791,1432.76,1430.69,667,727.85,685.929,794.953,874.256,157,Gopc
Nepn,1,7,3,10,5,21,0,5,3,13,5,4,6,2,0,0,Nepn
Nus1,1173.91,1126.78,894.944,1921.92,1476.25,1513.87,582,968.05,1157.66,1609.94,754,856.059,774.032,888.133,731.837,180,Nus1
Slc35f1,132,136,91,186,145,143,67,92,153,194,124,111,115,117,101,10,Slc35f1
Cep85l,389,449,282,331,531.9998,514,274.00015842,309.0008,546.0007,443,193.99960030105,179.9997,190,340,311,139,Cep85l
Asf1a,666,647,454,883,889,899,401.9997,515,757,766,417,427,465,517,512,114,Asf1a
Numa1,793.422,991.669,316.043,765.203,760.75,5546.85,710.401,416.754,5183.05,805.935,168.887,149.079,204.3374,301.073,616.454,89.0375,Numa1
Nelfe,156.0002,193.0004,36,194.00013,120,597.00042,83.00004,43.00001,533.0005,120,30,16,18.00005,26.9999744,94.99997,5,Nelfe
Skic2,99,134,35,115,83,1013,126,35,837,84,9,15,10,21,72,15,Skic2
Dxo,17,24,11,34,24,244,24,8,203,21,3,1,3,4,17,1,Dxo
Cyp21a1,56,98,10,71,39,683,50,11,574,39,0,2,3,8,42,0,Cyp21a1
Atf6b,213,184.00009,44.00002,211,113.00037,1222.00346,145,73,1089.99657,156.99996,23,10.000004,28,35,81,21,Atf6b
Fkbpl,155,180,73,186,82,318,152,71,244,150,29,26,47,52,74,35,Fkbpl
Prrt1,51.00002,61,28,78,30.00004,177.9998,39,24,140,44.99995,12,16,23,27,39,0,Prrt1
Ppt2,359.0002964932,415,102.99995,362.9995,207.00038,1664.99922,212.999591557,135.9995086515,1325.99964,288.0001735693,36.9999771702,36.0000203695,60.0000452303,75.9999742139,179.99994,31.999997433,Ppt2
Egfl8,35.00004,44,7.11115,35,26.99996,244.1286,19.0858,20.99998,216.0003,18.99996,11,3,12,11.000001241,14.99996,4,Egfl8
Agpat1,423.99969,550.999959,123.88868,527.99977,305.00009,2180.86845,312.91426,123.00035,1811.9981,367.99994,34,34,65,96,228.00046,59.99998,Agpat1
Rnf5,251.9999,335,108,340,244.9995,1151.00063,201.9999,143,896.9996,285,85.00002,82,92,86,131,30,Rnf5
Ager,25,51.99994,5.999998,29.999977,18.999999,246.00007,24.00003,9,266.9999,33.000018,2,2,6.9999981,7,16,3,Ager
Pbx2,433.0003,542.00024,291.00016,815.99959,592.00016,1321.00167,256.9995,373,1064,491,257.00029,267,240,305,354.9999,78,Pbx2
Gpsm3,37,27,16,56,26,173,47,16,169,35,4,7,6,12,13,0,Gpsm3
Notch4,454,503,194,600,323,2378,310,204,2304,410,110,113,140,145,252,55,Notch4
Btnl7,0.5,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,Btnl7
Rt1-ba,1443.999,945.0004,559,1943.999,937,2800.9997,830.0004,723,3846.0009,1212,480,262,479,574,930,151,RT1-Ba
Rt1-dob,37.99997,51.99998,19.00004,44.00002,25,74.99994,13,8,131.00041,39,11,8,12,11,17,3,RT1-DOb
Tap2,214,238,50,163.387,107.965,1404.57,143.801,67.967,1521.83,106.129,29.3027,16,28,18.0462,158,33,Tap2
Psmb8,373.05029,227.467,82.97734,422.953037,210.19079,839.56676,343.426648928,140.9165,1076.25926,290.62393,72.96719,14.68993,71.44806213032,84.18973,191.70256,35.01374,Psmb8
Tap1,285.9636,231.55301,68.36016,348.57228,234.6372,1286.94128,339.78802,139.06424,1531.31994,215.8122,82.92053,26.08746,53.15345,73.68887,133.2391,49.13749,Tap1
Psmb9,294.00018,268.9996,80,277,179,957,233.99951,116,1065.9962,193,61,8,43,77,188,23,Psmb9
Brd2,2054.999,2008.001,858.9999,2424.9989,1667.0024,4248.0035,1295.0017,1013,3614.9933,1848.005,615.9997,475.9997,582,830,1265.9971,187.9998,Brd2
Col11a2,23.99997,25.99994,9,14.17084,11,132.37006,32,3,142.9997,6,3,4,1,5.000004,7,2,Col11a2
Rxrb,217.00015,289.99952,57.000032,216.99998,173.00008,1891.00093,228.99965,80.9999885311,1579.9957,184.00009,26.00001,19.000043,29.999965,72.00004,100.99997,18.99995,Rxrb
Slc39a7,497,547.00017,129.99994,559.00046,273.99956,2072.00338,313,227.00035,1718.00004,412.000110208573,46,75.00002,77,82.99996,224.99967,39.99992,Slc39a7
Hsd17b8,413.99993,586.9998,107.99995,415.00008,243.00013,1215.9995,283.9995,142.99976,1127,307.9996,39.99995,24.00001,56.00001,81.00002,254.99965,54.00003,Hsd17b8
Ring1,89,98.000021,14.00003,99,45.99997,641,98,29.000011,553,65.00005,3.999996,7.999997,3,22,40.000031,1,Ring1
Vps52,681.01183,497.17933,249.06707,536.1369,392.20248,3477.3819,396.12985,333.03681,3119.7958,327.99964,133.22659,104.04536,145.9998,188.05141,487.1744,100.99998,Vps52
B3galt4,11,15,3,13,10,70,10,8,62,12,3,0,1,2,15,1,B3galt4
Pfdn6,529.99968,574.99969,161.00005,823.00038,445.00032,1808.00466,472.0003,188.00016,1266.00016,495.99951,58,52,73,182.99972,212.00048,27.99998,Pfdn6
Ralgdsl2,367.637882887,459.957790013477,131.93911,381.85042858,309.69318029673,1934.7102,256.4994,151.50660515461,1589.3879,294.2675,70.01731,57.69424,90.61592,72.67282,169.56799,64.31353,Ralgdsl2
Zbtb22,158,175,37,153,93,702,131,61,660,146,13,17,33,30,101,15,Zbtb22
Daxx,258.6569,295.91171,104.32168,359.27029,189.1393,814.90842,237.1529,116.33318,758.07003,227.16454,49.46638,37.45921,51.9271,99.02179,197.051,9.401950911368,Daxx
Kifc1,48,41,8,41,9,118,0,11,88,14,2,1,2,8,10,0,Kifc1
Phf1,229.999605865517,270.999854,76,255.00008,245.9999,1326.00032,209.99994,126.00001,1361.9995,265.00052,59.999956,54.00001,68.99999,88.00002,206,53.9999299,Phf1
Cuta,213.99958,237.00014,69.999975,276.00003,162.99982,1377.9992,164.00031,104.99992,1093.9999,187.00002,37,34.00004,55.00002,82.99996,133.000166,18,Cuta
Syngap1,59,51,11,17,33.99999,294.9997,46,20,265.00009,57,6,7,6,12,44,0,Syngap1
Bak1,253,255.00028,75,204.99997,151.00048,867,180,71,667.0005,175,28,16,30,41,117.00037,4,Bak1
Ggnbp1,13,9,3,8,7,50,6,6,39,6,0,1,1,1,4,0,Ggnbp1
Hmga1,61,73,13,54,40,553,45,25,374,49,4,4,4,10,30,14,Hmga1
Rps10,435.49,435.39,48.3015,318.66,209.212,1860.13,565.179,112.967,1718.53,329.776,36.9339,13.2209,45.6783,145.251,279.028,45.9422,Rps10
Spdef,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Spdef
Snrpc,602,618,391,1131,573,1254,478,399,831.119,627,133.073,89,209.796,268.871,349.931,32.6908,Snrpc
Bltp3a,62,74,16,50,44,448,47,23,493,35,12,7,11,18,47,14,Bltp3a
Anks1a,616,940,203,641,415,4880,522.0005,326.0001,4555.003,611,117,79,126,167,360,92,Anks1a
Tcp11,6,0,1,0,1,1,1,0,1,0,2,0,0,2,0,0,Tcp11
Scube3,4,3,0,3,6,34,3,2,29,4,2,0,0,1,1,0,Scube3
Zfp523,87,131,19,69.99998,84,837,95.00004,44,673,75,8,9,7.999998,13,44,11.99998,Zfp523
Def6,17.3286,27.1576,9.18749,21.3718,16.5525,96.3177,17.3912,6,67.1744,17.2401,9.10063,5.16003,0,6.15462,9,2,Def6
Ppard,319.737,405.261,98.3417,318.027,250.596,2460.649,262.292,146.738,2373.887,329.9,56.5873,37.0705,65.7737,80.23229,167.7545,43.2982,Ppard
Fance,42,53,12,30,16,369,45,10,343,32,4,5,5,10,31,4,Fance
Rpl10a,2074.12,2357.29,506.279,2341.89,1163.38,7494.76,1428.08,728.779,6080.25,1690.03,203.468,175.457,371.474,521.517,1329.39,171.054,Rpl10a
Tead3,181.824,227.721,75.6971,198.056,136.758,781.995,111.18,68.1642,626.022,194.976,33.2771,35.3844,39.53,67.483,132.398,22.8852,Tead3
Tulp1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tulp1
Armc12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Armc12
Clps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Clps
Srpk1,616,667.0003,409,741,662,1066,422.0004,384,980.9999,592.0002,290,318.99997,286.9997,345,425.99995,74,Srpk1
Slc26a8,78,73,27.00002,42.00003,36.00003,120.00005,102,31.99997,118.00021,52.00004,15,18,25.99996,41.99997,51,9,Slc26a8
Mapk14,1490.9994,1702.9963,801.9998,1870.9965,1323.0025,3421.997,985.0003,808.0002,2907.999,1563.0005,490.9999,453.0002,539.9999,628.0002,919,177.0002,Mapk14
Mapk13,27.6595,36.2147,7.85705,15.0434,19.7458,50.1442,4.24686,5.62768,36.8389,20.6044,2.34758,8.85733,10.9788,6.0211,12.0969,1.01053,Mapk13
Pxt1,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,Pxt1
Kctd20,167.99991,223.00001,100.99996,227.00001,224.0004,496.0004,146.99988,134.0004,484.0003,223.0003,56,62,63,115.9998,167,57.00003,Kctd20
Stk38,869.15049,1000.05594,489.88725,1130.10547,790.42155,1572.15829,461.99959,530.31582,1311.99342,943.58102,332.00085,234.86483,335.65125,493.12931,578.27535,121.53791919,Stk38
Srsf3,5240.06,5444,3654.01,8054.32,4478,5883.5,2099.957,3207.998,3733.08,5090.53,2622.999,2404,2634.587,2644.004,2249.218,447.9998,Srsf3
Cdkn1a,804.9997,731.9996,185.3862,753,310.6484,1203,175.00031,136.4124,893,271.00001,94,60,65,110.99956,144.00032,43,Cdkn1a
Cpne5,5,10.0702,3,11.1167,5.00001,45.1597,0,1.01269,55.2529,13.2746,1,9.00004,4,1.02496,14.2804,2.09394,Cpne5
Ppil1,173,260,79,266,127,623,156,60,550,232,44,31,39,72,106,22.99996,Ppil1
C20h6orf89,2264.0001,2307.00063,1087.0009,2906.1146,1763.99931,3768.999,1310.9996,1245.00052,3196.00276,2152.0008,584.99952,575.99997,663.00009,766.99998,1294.61517,268.99956,C20h6orf89
Pi16,633.00014,871.0003,108.00004,608.9998,366,2476,302.9997141072,135.99965,2206.005,406,57.00005,38.00001,99,70,188.0003,22.9999928,Pi16
Mtch1,806.00064,1058.00053,191.000361,836.9994,542.00033,5207.0013,799.99972,278.99972,4210.99939,626.00004,71,55,91,197,420.9996,54,Mtch1
Fgd2,26,15,6,29,30,146,17,8,148,14,6,2,1,5,10,5,Fgd2
Pim1,27,25,6,25,25,201,13,8,121,18,3,0,1,8,5,1,Pim1
Cmtr1,970.9996,964.0003,292.99988,932,627.0003,2454.0002,796,367.9998,2159.0009,744.9996,159.00013,96,179.99984,218,481.99966,94,Cmtr1
Mdga1,15,20,3,15,11.0197,86.3782,7,8.03121,60,10,1,2,2,4,3.03116,11,Mdga1
Btbd9,198,199,70,171,123,354,81,90,338,169,55,40,60,69,100,28,Btbd9
Glo1,3042,3209,1831,4427,2652,4379,1663,1876,3972,3101,1414,1142,1453,1749,2277,287,Glo1
Dnah8,93,85,31,72,49,99,85,14,75,17,19,8,13,26,34,0,Dnah8
Frk,132,150.209,103,213,199,197.147,133,95,141,217,154,138,174,161,79.0333,14,Frk
Nt5dc1,279,249,236,385,393,405,119,282,359,327,271,229,235,264,232,4,Nt5dc1
Tspyl4,71,71,29,58,64,173,30,15,98,46,30,26,26,24,43,9,Tspyl4
Fam241b,49,53,28,75,44,136,17,25,123,55,31,15,30,24,39,1,Fam241b
Col13a1,12,18.00001,4,12.99997,6,57,1,1,83,2,1,0,2,2,0,2,Col13a1
Nodal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Nodal
Sar1a,5448.0007,5929.9996,3005.0004,8668.0026,5080.0016,7792.9952,3333.0037,3079.0016,6541.9977,5302.0045,1962.003,1788.0002,2248.00031,2756,3065.0001,552.99996,Sar1a
